vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 4]",35,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4]",36,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 4, 4, 4]",37,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 4, 4, 4, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 4, 4, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 4, 4, 4]",40,8,0,True,True,True,False,True,False,False,False,"1,1,1,1,1|1,1,3|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4]",41,8,0,True,True,False,False,True,False,False,False,"1,1,1,1,1|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]",28,5,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3]",29,5,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 4]",30,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,1,1,2|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3]",30,6,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,1,3|1,1,3|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4]",31,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,1,3|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 4, 4]",32,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]",31,6,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3|1,1,3|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 4]",32,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 4]",33,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4]",34,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,2,2|1,2,2|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3]",32,6,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4]",33,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4]",34,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 4, 4]",35,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,1,3|1,2,2|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4]",36,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,2|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3]",33,6,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|1,2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4]",34,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|2,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4]",35,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3|1,1,3|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4]",36,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3|1,2,2|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4]",37,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,2,2|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 4]",38,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,2,2|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3]",34,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|2,3|2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4]",35,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4]",36,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4]",37,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 4, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,2,2|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4]",40,8,0,True,True,False,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3]",35,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 4]",36,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|2,3|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 4, 4]",37,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 4, 4, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,4|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 4, 4, 4, 4, 4]",40,8,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 4, 4, 4, 4, 4]",41,8,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4]",42,8,0,True,True,False,True,False,False,False,False,"1,1,1,2|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]",36,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|3,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 4]",37,7,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|3,3,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 4, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|3,3,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|3,3,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 4, 4, 4, 4]",40,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 4, 4, 4, 4, 4]",41,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 4, 4, 4, 4, 4]",42,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 4, 4, 4, 4]",43,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4]",44,8,0,True,True,False,False,False,False,False,False,"1,4|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",29,5,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,2,2|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3]",30,6,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,1,3|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 4]",31,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,2|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3]",31,6,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 4]",32,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,2,2|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 4, 4]",33,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,2,2|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3]",32,6,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4]",33,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 4]",34,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,2,2|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 4, 4, 4]",35,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,2|1,2,2|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3]",33,6,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|1,2,2|1,2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4]",34,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|1,2,2|2,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 4, 4]",35,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 4, 4]",36,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,2,2|1,2,2|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4]",37,7,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,2,2|1,2,2|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3]",34,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|2,3|2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4]",35,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4]",36,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4]",37,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,2,2|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 4, 4, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,2,2|1,2,2|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,2,2|1,2,2|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3]",35,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4]",36,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|1,2,2|2,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4]",37,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,2,2|1,4|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4, 4]",40,8,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,2,2|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 4, 4]",41,8,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,2,2|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3]",36,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|2,3|2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 4]",37,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|2,3|2,3|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|2,3|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|2,3|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 4]",40,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,2,2|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4]",41,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 4, 4, 4, 4]",42,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,2,2|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4, 4]",43,8,0,True,True,True,False,False,False,False,False,"1,2,2|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3]",37,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|2,3|3,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 4]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|3,3,4|2,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 4, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|2,3|1,4|1,4|3,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 4, 4, 4]",40,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4]",41,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,4|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 4]",42,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,4|1,4|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 4, 4, 4, 4, 4, 4]",43,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,4|1,4|1,4|1,4|2,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4]",44,8,0,True,True,False,False,False,False,False,False,"2,3|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4]",45,9,0,True,True,False,True,False,False,False,False,"1,1,1,2|1,4|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",38,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|3,3|3,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 4]",39,7,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|3,3,4|3,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 4, 4]",40,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|1,1,3|3,3,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 4, 4, 4]",41,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|1,1,3|3,3,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4]",42,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,1,3|3,3,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 4, 4, 4, 4, 4]",43,8,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|3,3,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 4, 4, 4, 4, 4, 4]",44,8,0,True,True,True,False,False,False,False,False,"1,1,3|3,3,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4]",45,9,0,True,True,True,False,False,False,False,False,"1,1,3|1,1,3|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4]",46,9,0,True,True,True,False,False,False,False,False,"1,1,3|1,4|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",47,9,0,True,True,False,False,False,False,False,False,"1,4|1,4|1,4|1,4|1,4|1,4|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",30,6,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,2|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3]",31,6,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,2,2|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4]",32,6,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,2,2|1,2,2|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3]",32,6,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,2,2|1,2,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4]",33,6,0,True,True,True,False,False,False,False,False,"1,1,3|1,2,2|1,2,2|1,2,2|1,2,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4]",34,6,0,True,True,True,False,False,False,False,False,"1,2,2|1,2,2|1,2,2|1,2,2|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",33,6,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3|1,2,2|1,2,2|1,2,2|1,2,3"
